"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"ALVA OK",-98.66719055,36.80501556,22,8,5,9,5023
"ALVIN TX",-95.24459076,29.42417526,14,5,5,4,25224
"AMARILLO TX",-101.8324051,35.22210312,243,52,85,106,196571
"AMBLER PA",-75.2210083,40.15485382,6,0,3,3,6513
"AMBOY IL",-89.3286972,41.71424103,1,1,0,0,2535
"AMELIA OH",-84.21751404,39.0284462,2,0,1,1,5319
"AMERICAN FORK UT",-111.8032379,40.34251022,7,2,1,4,27799
"AMERICUS GA",-84.23246002,32.07291031,13,4,4,5,16345
"AMES IA",-93.61370087,42.02269363,552,140,136,276,62815
"AMHERST OH",-82.22229767,41.39805603,31,6,17,8,12114
"AMHERST VA",-79.05090332,37.58533478,3,1,1,1,2323
"AMITYVILLE NY",-73.41622162,40.67899323,8,1,3,4,9515
"AMMON ID",-111.9684067,43.46959305,2,1,1,0,14469
"AMORY MS",-88.48745728,33.98094559,17,5,4,8,7151
"AMSTERDAM NY",-74.18743134,42.93893051,3,0,3,0,18157
"ANACORTES WA",-122.6148834,48.51247025,23,6,6,11,16048
"ANADARKO OK",-98.2443161,35.07276535,4,1,2,1,6777
"ANAHEIM CA",-117.9165115,33.8354454,330,83,96,151,345578
"ANCHORAGE AK",-149.8811951,61.21649933,742,212,204,326,299107
"ANDERSON IN",-85.68051147,40.1053772,189,43,51,95,55630
"ANDERSON SC",-82.65641785,34.50934219,73,24,21,28,26978
"ANDOVER KS",-97.13726807,37.71379852,11,5,4,2,12293
"ANDOVER MN",-93.29158783,45.23327637,8,3,3,2,31553
"ANDREWS TX",-102.5462036,32.31894684,1,1,0,0,12696
"ANGLETON TX",-95.43254852,29.17015266,1,1,0,0,19153
"ANGOLA IN",-84.99913788,41.63493347,1,0,0,1,8615
"ANGOLA NY",-79.0273056,42.63856506,4,1,2,1,1858
"ANKENY IA",-93.60646057,41.72983551,54,14,14,26,51489
"ANN ARBOR MI",-83.74536896,42.28347015,1964,539,550,875,116194
"ANNA TX",-96.5491333,33.34925842,1,0,0,1,9733
"ANNAPOLIS MD",-76.49166107,38.97844696,351,101,104,146,38841
"ANNAWAN IL",-89.90499115,41.39733887,1,0,1,0,900
"ANNISTON AL",-85.8313446,33.65997314,16,9,3,4,22626
"ANOKA MN",-93.3874588,45.19776535,14,4,4,6,17244
"ANSONIA CT",-73.0779953,41.34640884,21,3,6,12,19035
"ANTIGO WI",-89.15254211,45.14036942,1,0,0,1,8001
"ANTIOCH CA",-121.808136,38.0049057,113,25,44,44,107501
"APACHE JUNCTION AZ",-111.5511551,33.41511536,38,15,14,9,36586
"APEX NC",-78.84952545,35.73279572,35,7,11,17,42220
"APOLLO PA",-79.56620789,40.58155441,5,2,2,1,1566
"APOPKA FL",-81.5089798,28.68117523,25,6,7,12,45801
"APPLE VALLEY MN",-93.21794128,44.73189926,47,17,12,18,50309
"APPLETON WI",-88.41551208,44.2618866,186,53,46,87,73118
"APPOMATTOX VA",-78.82469177,37.35719299,2,1,0,1,2124
"ARAB AL",-86.49552917,34.31829453,95,28,29,38,8282
"ARANSAS PASS TX",-97.150383,27.91025734,2,2,0,0,8067
"ARCADIA CA",-118.0368881,34.1397934,48,9,10,29,57564
"ARCADIA FL",-81.85810089,27.21654701,6,1,1,4,7704
"ARCADIA LA",-92.92064667,32.54955673,2,0,0,2,2897
"ARCANUM OH",-84.55335236,39.9899826,4,0,0,4,2161
"ARCATA CA",-124.08564,40.86624527,72,21,25,26,17752
"ARCHBOLD OH",-84.30731201,41.52135849,1,0,1,0,4304
"ARCHDALE NC",-79.97145844,35.91481018,4,2,2,0,11396
"ARCHER FL",-82.51840973,29.53064919,6,4,0,2,1180
"ARCOLA IL",-88.3065567,39.68466949,1,0,0,1,2961
"ARDEN DE",-75.48575592,39.8094902,1,0,1,0,538
"ARDEN HILLS MN",-93.15720367,45.05033112,10,2,2,6,9797
"ARDMORE OK",-97.14401245,34.17425156,34,14,8,12,24955
"ARENZVILLE IL",-90.37351227,39.87685394,1,1,0,0,364
"ARGYLE WI",-89.86712646,42.70111084,4,1,1,2,785
"ARKADELPHIA AR",-93.05423737,34.12095642,12,2,4,6,10721
"ARKANSAS CITY KS",-97.03897858,37.06211472,12,2,4,6,12253
