"yday","location","time","location_total.counts","positive.counts","negative.counts","neutral.counts","counts","lon","lat","totalpopulation"
222,"ABERDEEN MD",2,1,0,1,0,1,-76.16343689,39.50980759,15238
222,"ABILENE TX",2,3,1,1,1,3,-99.73384094,32.44894028,122226
222,"ADA OK",2,1,0,1,0,1,-96.67899323,34.77481842,17149
222,"ADDISON TX",2,1,1,0,0,1,-96.82976532,32.96215057,15087
222,"AIKEN SC",2,1,0,1,0,1,-81.71619415,33.55714417,30183
222,"AKRON OH",2,18,4,7,7,18,-81.51885223,41.08151627,198329
222,"ALAMEDA CA",2,3,1,1,1,3,-122.2444763,37.76513672,76733
222,"ALAMOGORDO NM",2,1,0,1,0,1,-105.9584656,32.90003967,31198
222,"ALAMOSA CO",2,2,0,0,2,2,-105.8724442,37.46229935,9592
222,"ALBANY GA",2,1,0,1,0,1,-84.15510559,31.58296013,76466
222,"ALBANY NY",2,2,0,0,2,2,-73.75520325,42.6529007,98468
222,"ALBUQUERQUE NM",2,20,2,9,9,20,-106.6517639,35.08336639,556092
222,"ALEXANDRIA VA",2,30,9,9,12,30,-77.04605103,38.80503082,149315
222,"ALLEN TX",2,1,0,1,0,1,-96.67116547,33.10336685,92502
222,"ALLENTOWN PA",2,1,0,1,0,1,-75.46569824,40.60851288,119261
222,"ALPENA MI",2,8,2,4,2,8,-83.43292999,45.06164551,10273
222,"AMARILLO TX",2,2,0,2,0,2,-101.8324051,35.22210312,196571
222,"AMERICUS GA",2,1,0,1,0,1,-84.23246002,32.07291031,16345
222,"AMES IA",2,2,1,1,0,2,-93.61370087,42.02269363,62815
222,"AMORY MS",2,3,1,1,1,3,-88.48745728,33.98094559,7151
222,"ANAHEIM CA",2,5,1,2,2,5,-117.9165115,33.8354454,345578
222,"ANCHORAGE AK",2,27,7,17,3,27,-149.8811951,61.21649933,299107
222,"ANDERSON IN",2,1,0,0,1,1,-85.68051147,40.1053772,55630
222,"ANN ARBOR MI",2,24,1,11,12,24,-83.74536896,42.28347015,116194
222,"ANNAPOLIS MD",2,1,1,0,0,1,-76.49166107,38.97844696,38841
222,"ANSONIA CT",2,1,0,1,0,1,-73.0779953,41.34640884,19035
222,"ANTIOCH CA",2,1,0,1,0,1,-121.808136,38.0049057,107501
222,"APEX NC",2,1,0,0,1,1,-78.84952545,35.73279572,42220
222,"APPLE VALLEY MN",2,8,1,3,4,8,-93.21794128,44.73189926,50309
222,"APPLETON WI",2,1,0,1,0,1,-88.41551208,44.2618866,73118
222,"ARCATA CA",2,2,0,0,2,2,-124.08564,40.86624527,17752
222,"ARDMORE OK",2,3,1,0,2,3,-97.14401245,34.17425156,24955
222,"ARLINGTON TN",2,2,0,1,1,2,-89.66139984,35.29637527,11635
222,"ARLINGTON TX",2,17,8,4,5,17,-97.10882568,32.73590469,379716
222,"ARNAUDVILLE LA",2,1,0,0,1,1,-91.93197632,30.39797974,1267
222,"ASHEVILLE NC",2,6,1,4,1,6,-82.55367279,35.60134888,86789
222,"ASHLAND OR",2,5,2,2,1,5,-122.7111359,42.19425583,20556
222,"ASHLEY IN",2,2,0,0,2,2,-85.06525421,41.52718735,1080
222,"ASPEN CO",2,1,0,0,1,1,-106.8185959,39.19105911,6740
222,"ATHENS OH",2,5,2,2,1,5,-82.10113525,39.32934952,24220
222,"ATLANTA GA",2,545,124,215,206,545,-84.38757324,33.74927521,448901
222,"ATLANTIC CITY NJ",2,4,1,1,2,4,-74.42202759,39.36457062,39547
222,"ATTLEBORO MA",2,1,0,1,0,1,-71.28439331,41.94469833,43953
222,"AUBURN AL",2,2,0,1,1,2,-85.48087311,32.61021423,58693
222,"AUBURN WA",2,2,0,1,1,2,-122.2304688,47.30677795,74527
222,"AURORA CO",2,10,2,8,0,10,-104.8693161,39.73983765,345867
222,"AUSTELL GA",2,1,1,0,0,1,-84.63414001,33.81290054,6994
222,"AUSTIN TX",2,124,32,36,56,124,-97.74386597,30.26748466,887061
222,"AVALON CA",2,1,0,0,1,1,-118.329773,33.34281921,3777
222,"BAKERSFIELD CA",2,2,0,1,1,2,-119.0206375,35.37326813,363612
222,"BALLWIN MO",2,1,0,0,1,1,-90.54669189,38.5951004,30484
222,"BALTIMORE MD",2,235,45,111,79,235,-76.6115799,39.29075623,622454
222,"BARTLETT IL",2,1,0,1,0,1,-88.18564606,41.9950676,41552
222,"BARTLETT TN",2,4,1,2,1,4,-89.87441254,35.20460892,58107
222,"BARTONVILLE IL",2,5,2,1,2,5,-89.65235138,40.6502037,6438
222,"BATON ROUGE LA",2,21,5,7,9,21,-91.15479279,30.45132256,229186
222,"BAXTER SPRINGS KS",2,3,2,0,1,3,-94.73813629,37.02472305,4114
