"Code","State","State_id","City","City2","City3","Place_type","City_state","City_code","avgCensus2010pop","avgPopestimate2015","rownum","id","id2","geography","totalpopulation","malepop","femalepop","medianage","per_male","per_female","total_area","urban","rural","per_urban","per_rural","house_total_population","house_total_income","total_population_race","white_population","black_population","per_white","per_black","total_pop_over16","employ_pop_over16","per_employ_over16","total_population_lang","english_only","english_other","per_english_only","per_english_other","mean_income_households","total_population_individuals","house_median_income","med_per_urban","med_per_rural","med_per_employ_over16","city","state","location","lon","lat","count","count_rate","mean_income_per_capita"
"CA","California",6,"San Bruno city","San Bruno","San Bruno","city","San Bruno, California","San Bruno, CA",41114,43292,3117,"1600000US0665028",665028,"San Bruno city, California",42506,21111,21395,39.2,49.67,50.33,41114,41114,0,100,0,14899,14899,42506,21977,932,51.7,2.19,35162,25072,71.3,39866,20156,19710,50.6,49.4,101284,42506,83888,99.95,0.05,63.8,"SAN BRUNO","CA","SAN BRUNO CA",-122.4133148,37.63018799,8,0.188208723,36876
"CA","California",6,"San Carlos city","San Carlos","San Carlos","city","San Carlos, California","San Carlos, CA",28406,29974,3119,"1600000US0665070",665070,"San Carlos city, California",29454,14268,15186,42.9,48.44,51.56,28406,28406,0,100,0,11526,11526,29454,22945,359,77.9,1.22,23176,16539,71.4,27614,21380,6234,77.4,22.6,168039,29454,131685,99.95,0.05,63.8,"SAN CARLOS","CA","SAN CARLOS CA",-122.262207,37.50718307,68,2.308684729,66651
"CA","California",6,"San Clemente city","San Clemente","San Clemente","city","San Clemente, California","San Clemente, CA",63522,65340,3120,"1600000US0665084",665084,"San Clemente city, California",65017,32712,32305,41.9,50.31,49.69,63522,63522,0,100,0,24069,24069,65017,53673,408,82.55,0.63,51358,33533,65.3,61488,50595,10893,82.3,17.7,131903,65017,98153,99.95,0.05,63.8,"SAN CLEMENTE","CA","SAN CLEMENTE CA",-117.6134033,33.42698669,39,0.599843118,49851
"CA","California",6,"San Diego city","San Diego","San Diego","city","San Diego, California","San Diego, CA",1307402,1391040,3122,"1600000US0666000",666000,"San Diego city, California",1359791,682040,677751,34,50.16,49.84,1307402,1306002,1400,99.89,0.11,485091,485091,1359791,871716,88913,64.11,6.54,1105820,746909,67.5,1273307,755705,517602,59.3,40.7,90052,1359791,66116,99.95,0.05,63.8,"SAN DIEGO","CA","SAN DIEGO CA",-117.1587296,32.71524429,8676,6.380392281,33902
"CA","California",6,"San Dimas city","San Dimas","San Dimas","city","San Dimas, California","San Dimas, CA",33371,34471,3124,"1600000US0666070",666070,"San Dimas city, California",34073,15890,18183,42.5,46.64,53.36,33371,33184,187,99.44,0.56,12101,12101,34073,22678,1064,66.56,3.12,28366,17420,61.4,32425,23473,8952,72.4,27.6,96936,34073,78034,99.95,0.05,63.8,"SAN DIMAS","CA","SAN DIMAS CA",-117.8088913,34.10668945,17,0.498928771,35732
"CA","California",6,"San Fernando city","San Fernando","San Fernando","city","San Fernando, California","San Fernando, CA",23645,24812,3125,"1600000US0666140",666140,"San Fernando city, California",24296,12598,11698,32.2,51.85,48.15,23645,23645,0,100,0,6134,6134,24296,15519,541,63.87,2.23,18407,11901,64.7,22686,4740,17946,20.9,79.1,65555,24296,55170,99.95,0.05,63.8,"SAN FERNANDO","CA","SAN FERNANDO CA",-118.4407349,34.28187561,6,0.246954231,18092
"CA","California",6,"San Francisco city","San Francisco","San Francisco","city","San Francisco, California","San Francisco, CA",805235,866320,3126,"1600000US0667000",667000,"San Francisco city, California",840763,427909,412854,38.5,50.9,49.1,805235,805235,0,100,0,353287,353287,840763,409681,46825,48.73,5.57,739386,513563,69.5,802640,447519,355121,55.8,44.2,119406,840763,81294,99.95,0.05,63.8,"SAN FRANCISCO","CA","SAN FRANCISCO CA",-122.4213257,37.77465057,12778,15.19809982,52220
"CA","California",6,"San Gabriel city","San Gabriel","San Gabriel","city","San Gabriel, California","San Gabriel, CA",39718,40250,3127,"1600000US0667042",667042,"San Gabriel city, California",40198,19206,20992,42.2,47.78,52.22,39718,39718,0,100,0,12333,12333,40198,9050,148,22.51,0.37,33574,20888,62.2,38255,10095,28160,26.4,73.6,72055,40198,51579,99.95,0.05,63.8,"SAN GABRIEL","CA","SAN GABRIEL CA",-118.107605,34.09612274,12,0.298522315,23631
"CA","California",6,"San Jacinto city","San Jacinto","San Jacinto","city","San Jacinto, California","San Jacinto, CA",44199,46762,3130,"1600000US0667112",667112,"San Jacinto city, California",45977,22480,23497,32.2,48.89,51.11,44199,43871,328,99.26,0.74,13221,13221,45977,28087,3446,61.09,7.5,33691,19465,57.8,41990,23978,18012,57.1,42.9,57596,45977,46725,99.95,0.05,63.8,"SAN JACINTO","CA","SAN JACINTO CA",-116.9603272,33.78380585,4,0.087000022,17632
"CA","California",6,"San Jose city","San Jose","San Jose","city","San Jose, California","San Jose, CA",945942,1027560,3132,"1600000US0668000",668000,"San Jose city, California",1000860,502918,497942,36.1,50.25,49.75,945942,945631,311,99.97,0.03,314297,314297,1000860,439009,30379,43.86,3.04,788228,532144,67.5,933261,405382,527879,43.4,56.6,110200,1000860,84647,99.95,0.05,63.8,"SAN JOSE","CA","SAN JOSE CA",-121.8973846,37.33491516,2258,2.256059789,35811
